COU,Country,VAR,Variable,Landuse
ISL,Iceland,Oth,Other % land area,80.931
ISR,Israel,Ara,Arable and cropland % land area,22.107
ISR,Israel,For,Forest % land area,6.47
ISR,Israel,Mea,Meadows and pastures % land area,7.394
ISR,Israel,Oth,Other % land area,64.03
ITA,Italy,Ara,Arable and cropland % land area,31.547
ITA,Italy,For,Forest % land area,32.167
ITA,Italy,Mea,Meadows and pastures % land area,12.823
ITA,Italy,Oth,Other % land area,23.365
JAM,Jamaica,Ara,Arable and cropland % land area,19.852
JAM,Jamaica,For,Forest % land area,54.755
JAM,Jamaica,Mea,Meadows and pastures % land area,21.145
JAM,Jamaica,Oth,Other % land area,4.247
JOR,Jordan,Ara,Arable and cropland % land area,3.247
JOR,Jordan,For,Forest % land area,1.098
JOR,Jordan,Mea,Meadows and pastures % land area,8.356
JOR,Jordan,Oth,Other % land area,87.299
JPN,Japan,Ara,Arable and cropland % land area,12.063
JPN,Japan,For,Forest % land area,68.409
JPN,Japan,Oth,Other % land area,19.528
KAZ,Kazakhstan,Ara,Arable and cropland % land area,11.108
KAZ,Kazakhstan,For,Forest % land area,1.269
KAZ,Kazakhstan,Mea,Meadows and pastures % land area,68.328
KAZ,Kazakhstan,Oth,Other % land area,19.295
KEN,Kenya,Ara,Arable and cropland % land area,11.122
KEN,Kenya,For,Forest % land area,6.345
KEN,Kenya,Mea,Meadows and pastures % land area,37.425
KEN,Kenya,Oth,Other % land area,45.108
KGZ,Kyrgyzstan,Ara,Arable and cropland % land area,7.112
KGZ,Kyrgyzstan,For,Forest % land area,6.763
KGZ,Kyrgyzstan,Mea,Meadows and pastures % land area,46.947
KGZ,Kyrgyzstan,Oth,Other % land area,39.179
KHM,Cambodia,Ara,Arable and cropland % land area,23.034
KHM,Cambodia,For,Forest % land area,46.59
KHM,Cambodia,Mea,Meadows and pastures % land area,8.498
KHM,Cambodia,Oth,Other % land area,21.878
KIR,Kiribati,Ara,Arable and cropland % land area,41.975
KIR,Kiribati,For,Forest % land area,1.457
KIR,Kiribati,Oth,Other % land area,56.568
KNA,Saint Kitts and Nevis,Ara,Arable and cropland % land area,19.615
KNA,Saint Kitts and Nevis,For,Forest % land area,42.308
KNA,Saint Kitts and Nevis,Mea,Meadows and pastures % land area,3.462
KNA,Saint Kitts and Nevis,Oth,Other % land area,34.615
KOR,S Korea,Ara,Arable and cropland % land area,16.199
KOR,S Korea,For,Forest % land area,64.518
KOR,S Korea,Mea,Meadows and pastures % land area,0.574
KOR,S Korea,Oth,Other % land area,18.709
KWT,Kuwait,Ara,Arable and cropland % land area,0.786
KWT,Kuwait,For,Forest % land area,0.351
KWT,Kuwait,Mea,Meadows and pastures % land area,7.632
KWT,Kuwait,Oth,Other % land area,91.232
LAO,Laos,Ara,Arable and cropland % land area,7.448
LAO,Laos,For,Forest % land area,72.054
LAO,Laos,Mea,Meadows and pastures % land area,2.925
LAO,Laos,Oth,Other % land area,17.574
LBN,Lebanon,Ara,Arable and cropland % land area,25.22
LBN,Lebanon,For,Forest % land area,13.952
LBN,Lebanon,Mea,Meadows and pastures % land area,39.101
LBN,Lebanon,Oth,Other % land area,21.727
LBR,Liberia,Ara,Arable and cropland % land area,7.267
LBR,Liberia,For,Forest % land area,79.399
LBR,Liberia,Mea,Meadows and pastures % land area,13.02
LBR,Liberia,Oth,Other % land area,0.314
LBY,Libya,Ara,Arable and cropland % land area,1.165
LBY,Libya,For,Forest % land area,0.123
LBY,Libya,Mea,Meadows and pastures % land area,7.559
LBY,Libya,Oth,Other % land area,91.153
LCA,Saint Lucia,Ara,Arable and cropland % land area,16.393
LCA,Saint Lucia,For,Forest % land area,34.049
LCA,Saint Lucia,Mea,Meadows and pastures % land area,0.984
LCA,Saint Lucia,Oth,Other % land area,48.574
LIE,Liechtenstein,Ara,Arable and cropland % land area,9.25
LIE,Liechtenstein,For,Forest % land area,41.875
LIE,Liechtenstein,Mea,Meadows and pastures % land area,23.688
LIE,Liechtenstein,Oth,Other % land area,25.188
LKA,Sri Lanka,Ara,Arable and cropland % land area,38.335
LKA,Sri Lanka,For,Forest % land area,34.207
LKA,Sri Lanka,Mea,Meadows and pastures % land area,7.112
LKA,Sri Lanka,Oth,Other % land area,20.075
LSO,Lesotho,Ara,Arable and cropland % land area,4.677
LSO,Lesotho,For,Forest % land area,1.137
LSO,Lesotho,Mea,Meadows and pastures % land area,65.876
LSO,Lesotho,Oth,Other % land area,28.31
LTU,Lithuania,Ara,Arable and cropland % land area,35.883
LTU,Lithuania,For,Forest % land area,35.133
LTU,Lithuania,Mea,Meadows and pastures % land area,11.626
LTU,Lithuania,Oth,Other % land area,17.359
LUX,Luxembourg,Ara,Arable and cropland % land area,24.671
LUX,Luxembourg,For,Forest % land area,34.454
LUX,Luxembourg,Mea,Meadows and pastures % land area,26.368
LUX,Luxembourg,Oth,Other % land area,13.771
LVA,Latvia,Ara,Arable and cropland % land area,21.341
LVA,Latvia,For,Forest % land area,54.75
LVA,Latvia,Mea,Meadows and pastures % land area,10.156
LVA,Latvia,Oth,Other % land area,13.753
MAR,Morocco,Ara,Arable and cropland % land area,19.296
MAR,Morocco,For,Forest % land area,12.844
MAR,Morocco,Mea,Meadows and pastures % land area,47.054
MAR,Morocco,Oth,Other % land area,20.61
MCO,Monaco,For,Forest % land area,0
MCO,Monaco,Oth,Other % land area,100
MDA,Moldova,Ara,Arable and cropland % land area,58.435
